folder_name,input_folder,output_folder
151A_425470.0469,/home/linux/IHCPs/dataset_pm1000_sin_white/input/151A_425470.0469,/home/linux/IHCPs/dataset_pm1000_sin_white/output/151A_425470.0469
152A_288944.6949,/home/linux/IHCPs/dataset_pm1000_sin_white/input/152A_288944.6949,/home/linux/IHCPs/dataset_pm1000_sin_white/output/152A_288944.6949
153A_752438.8898,/home/linux/IHCPs/dataset_pm1000_sin_white/input/153A_752438.8898,/home/linux/IHCPs/dataset_pm1000_sin_white/output/153A_752438.8898
154A_294394.9373,/home/linux/IHCPs/dataset_pm1000_sin_white/input/154A_294394.9373,/home/linux/IHCPs/dataset_pm1000_sin_white/output/154A_294394.9373
155A_926741.1687,/home/linux/IHCPs/dataset_pm1000_sin_white/input/155A_926741.1687,/home/linux/IHCPs/dataset_pm1000_sin_white/output/155A_926741.1687
156A_868794.0698,/home/linux/IHCPs/dataset_pm1000_sin_white/input/156A_868794.0698,/home/linux/IHCPs/dataset_pm1000_sin_white/output/156A_868794.0698
157A_807992.7086,/home/linux/IHCPs/dataset_pm1000_sin_white/input/157A_807992.7086,/home/linux/IHCPs/dataset_pm1000_sin_white/output/157A_807992.7086
158A_970445.0663,/home/linux/IHCPs/dataset_pm1000_sin_white/input/158A_970445.0663,/home/linux/IHCPs/dataset_pm1000_sin_white/output/158A_970445.0663
159A_229581.351,/home/linux/IHCPs/dataset_pm1000_sin_white/input/159A_229581.351,/home/linux/IHCPs/dataset_pm1000_sin_white/output/159A_229581.351
15A_414869.5412,/home/linux/IHCPs/dataset_pm1000_sin_white/input/15A_414869.5412,/home/linux/IHCPs/dataset_pm1000_sin_white/output/15A_414869.5412
160A_381062.822,/home/linux/IHCPs/dataset_pm1000_sin_white/input/160A_381062.822,/home/linux/IHCPs/dataset_pm1000_sin_white/output/160A_381062.822
161A_715097.9003,/home/linux/IHCPs/dataset_pm1000_sin_white/input/161A_715097.9003,/home/linux/IHCPs/dataset_pm1000_sin_white/output/161A_715097.9003
162A_453340.605,/home/linux/IHCPs/dataset_pm1000_sin_white/input/162A_453340.605,/home/linux/IHCPs/dataset_pm1000_sin_white/output/162A_453340.605
163A_642325.5983,/home/linux/IHCPs/dataset_pm1000_sin_white/input/163A_642325.5983,/home/linux/IHCPs/dataset_pm1000_sin_white/output/163A_642325.5983
164A_606266.4705,/home/linux/IHCPs/dataset_pm1000_sin_white/input/164A_606266.4705,/home/linux/IHCPs/dataset_pm1000_sin_white/output/164A_606266.4705
165A_483297.3387,/home/linux/IHCPs/dataset_pm1000_sin_white/input/165A_483297.3387,/home/linux/IHCPs/dataset_pm1000_sin_white/output/165A_483297.3387
166A_109366.829,/home/linux/IHCPs/dataset_pm1000_sin_white/input/166A_109366.829,/home/linux/IHCPs/dataset_pm1000_sin_white/output/166A_109366.829
167A_806238.4357,/home/linux/IHCPs/dataset_pm1000_sin_white/input/167A_806238.4357,/home/linux/IHCPs/dataset_pm1000_sin_white/output/167A_806238.4357
168A_988828.1571,/home/linux/IHCPs/dataset_pm1000_sin_white/input/168A_988828.1571,/home/linux/IHCPs/dataset_pm1000_sin_white/output/168A_988828.1571
169A_880114.8655,/home/linux/IHCPs/dataset_pm1000_sin_white/input/169A_880114.8655,/home/linux/IHCPs/dataset_pm1000_sin_white/output/169A_880114.8655
16A_962117.444,/home/linux/IHCPs/dataset_pm1000_sin_white/input/16A_962117.444,/home/linux/IHCPs/dataset_pm1000_sin_white/output/16A_962117.444
170A_303448.6527,/home/linux/IHCPs/dataset_pm1000_sin_white/input/170A_303448.6527,/home/linux/IHCPs/dataset_pm1000_sin_white/output/170A_303448.6527
171A_456572.6184,/home/linux/IHCPs/dataset_pm1000_sin_white/input/171A_456572.6184,/home/linux/IHCPs/dataset_pm1000_sin_white/output/171A_456572.6184
172A_462205.2525,/home/linux/IHCPs/dataset_pm1000_sin_white/input/172A_462205.2525,/home/linux/IHCPs/dataset_pm1000_sin_white/output/172A_462205.2525
173A_360215.3412,/home/linux/IHCPs/dataset_pm1000_sin_white/input/173A_360215.3412,/home/linux/IHCPs/dataset_pm1000_sin_white/output/173A_360215.3412
174A_248432.8362,/home/linux/IHCPs/dataset_pm1000_sin_white/input/174A_248432.8362,/home/linux/IHCPs/dataset_pm1000_sin_white/output/174A_248432.8362
175A_746232.4354,/home/linux/IHCPs/dataset_pm1000_sin_white/input/175A_746232.4354,/home/linux/IHCPs/dataset_pm1000_sin_white/output/175A_746232.4354
176A_897630.6068,/home/linux/IHCPs/dataset_pm1000_sin_white/input/176A_897630.6068,/home/linux/IHCPs/dataset_pm1000_sin_white/output/176A_897630.6068
177A_857301.8103,/home/linux/IHCPs/dataset_pm1000_sin_white/input/177A_857301.8103,/home/linux/IHCPs/dataset_pm1000_sin_white/output/177A_857301.8103
178A_387357.5801,/home/linux/IHCPs/dataset_pm1000_sin_white/input/178A_387357.5801,/home/linux/IHCPs/dataset_pm1000_sin_white/output/178A_387357.5801
179A_895241.5971,/home/linux/IHCPs/dataset_pm1000_sin_white/input/179A_895241.5971,/home/linux/IHCPs/dataset_pm1000_sin_white/output/179A_895241.5971
17A_465888.371,/home/linux/IHCPs/dataset_pm1000_sin_white/input/17A_465888.371,/home/linux/IHCPs/dataset_pm1000_sin_white/output/17A_465888.371
180A_228806.2396,/home/linux/IHCPs/dataset_pm1000_sin_white/input/180A_228806.2396,/home/linux/IHCPs/dataset_pm1000_sin_white/output/180A_228806.2396
181A_393037.9864,/home/linux/IHCPs/dataset_pm1000_sin_white/input/181A_393037.9864,/home/linux/IHCPs/dataset_pm1000_sin_white/output/181A_393037.9864
182A_632716.265,/home/linux/IHCPs/dataset_pm1000_sin_white/input/182A_632716.265,/home/linux/IHCPs/dataset_pm1000_sin_white/output/182A_632716.265
183A_726018.5592,/home/linux/IHCPs/dataset_pm1000_sin_white/input/183A_726018.5592,/home/linux/IHCPs/dataset_pm1000_sin_white/output/183A_726018.5592
184A_982294.5677,/home/linux/IHCPs/dataset_pm1000_sin_white/input/184A_982294.5677,/home/linux/IHCPs/dataset_pm1000_sin_white/output/184A_982294.5677
185A_180664.4238,/home/linux/IHCPs/dataset_pm1000_sin_white/input/185A_180664.4238,/home/linux/IHCPs/dataset_pm1000_sin_white/output/185A_180664.4238
186A_579328.3687,/home/linux/IHCPs/dataset_pm1000_sin_white/input/186A_579328.3687,/home/linux/IHCPs/dataset_pm1000_sin_white/output/186A_579328.3687
187A_405569.0629,/home/linux/IHCPs/dataset_pm1000_sin_white/input/187A_405569.0629,/home/linux/IHCPs/dataset_pm1000_sin_white/output/187A_405569.0629
188A_549542.3739,/home/linux/IHCPs/dataset_pm1000_sin_white/input/188A_549542.3739,/home/linux/IHCPs/dataset_pm1000_sin_white/output/188A_549542.3739
189A_871148.8363,/home/linux/IHCPs/dataset_pm1000_sin_white/input/189A_871148.8363,/home/linux/IHCPs/dataset_pm1000_sin_white/output/189A_871148.8363
18A_621502.6206,/home/linux/IHCPs/dataset_pm1000_sin_white/input/18A_621502.6206,/home/linux/IHCPs/dataset_pm1000_sin_white/output/18A_621502.6206
190A_385022.9994,/home/linux/IHCPs/dataset_pm1000_sin_white/input/190A_385022.9994,/home/linux/IHCPs/dataset_pm1000_sin_white/output/190A_385022.9994
191A_307233.245,/home/linux/IHCPs/dataset_pm1000_sin_white/input/191A_307233.245,/home/linux/IHCPs/dataset_pm1000_sin_white/output/191A_307233.245
192A_197063.224,/home/linux/IHCPs/dataset_pm1000_sin_white/input/192A_197063.224,/home/linux/IHCPs/dataset_pm1000_sin_white/output/192A_197063.224
193A_713179.3807,/home/linux/IHCPs/dataset_pm1000_sin_white/input/193A_713179.3807,/home/linux/IHCPs/dataset_pm1000_sin_white/output/193A_713179.3807
194A_721246.8336,/home/linux/IHCPs/dataset_pm1000_sin_white/input/194A_721246.8336,/home/linux/IHCPs/dataset_pm1000_sin_white/output/194A_721246.8336
195A_834722.0333,/home/linux/IHCPs/dataset_pm1000_sin_white/input/195A_834722.0333,/home/linux/IHCPs/dataset_pm1000_sin_white/output/195A_834722.0333
196A_748836.7512,/home/linux/IHCPs/dataset_pm1000_sin_white/input/196A_748836.7512,/home/linux/IHCPs/dataset_pm1000_sin_white/output/196A_748836.7512
197A_203341.7335,/home/linux/IHCPs/dataset_pm1000_sin_white/input/197A_203341.7335,/home/linux/IHCPs/dataset_pm1000_sin_white/output/197A_203341.7335
198A_349123.8094,/home/linux/IHCPs/dataset_pm1000_sin_white/input/198A_349123.8094,/home/linux/IHCPs/dataset_pm1000_sin_white/output/198A_349123.8094
199A_249296.9477,/home/linux/IHCPs/dataset_pm1000_sin_white/input/199A_249296.9477,/home/linux/IHCPs/dataset_pm1000_sin_white/output/199A_249296.9477
19A_670729.3825,/home/linux/IHCPs/dataset_pm1000_sin_white/input/19A_670729.3825,/home/linux/IHCPs/dataset_pm1000_sin_white/output/19A_670729.3825
1A_780569.6612,/home/linux/IHCPs/dataset_pm1000_sin_white/input/1A_780569.6612,/home/linux/IHCPs/dataset_pm1000_sin_white/output/1A_780569.6612
200A_102746.3505,/home/linux/IHCPs/dataset_pm1000_sin_white/input/200A_102746.3505,/home/linux/IHCPs/dataset_pm1000_sin_white/output/200A_102746.3505
201A_198299.2253,/home/linux/IHCPs/dataset_pm1000_sin_white/input/201A_198299.2253,/home/linux/IHCPs/dataset_pm1000_sin_white/output/201A_198299.2253
202A_120900.9211,/home/linux/IHCPs/dataset_pm1000_sin_white/input/202A_120900.9211,/home/linux/IHCPs/dataset_pm1000_sin_white/output/202A_120900.9211
203A_797574.0538,/home/linux/IHCPs/dataset_pm1000_sin_white/input/203A_797574.0538,/home/linux/IHCPs/dataset_pm1000_sin_white/output/203A_797574.0538
204A_240991.516,/home/linux/IHCPs/dataset_pm1000_sin_white/input/204A_240991.516,/home/linux/IHCPs/dataset_pm1000_sin_white/output/204A_240991.516
205A_638586.2046,/home/linux/IHCPs/dataset_pm1000_sin_white/input/205A_638586.2046,/home/linux/IHCPs/dataset_pm1000_sin_white/output/205A_638586.2046
206A_854318.0346,/home/linux/IHCPs/dataset_pm1000_sin_white/input/206A_854318.0346,/home/linux/IHCPs/dataset_pm1000_sin_white/output/206A_854318.0346
207A_248126.5885,/home/linux/IHCPs/dataset_pm1000_sin_white/input/207A_248126.5885,/home/linux/IHCPs/dataset_pm1000_sin_white/output/207A_248126.5885
208A_554825.9659,/home/linux/IHCPs/dataset_pm1000_sin_white/input/208A_554825.9659,/home/linux/IHCPs/dataset_pm1000_sin_white/output/208A_554825.9659
209A_763515.1936,/home/linux/IHCPs/dataset_pm1000_sin_white/input/209A_763515.1936,/home/linux/IHCPs/dataset_pm1000_sin_white/output/209A_763515.1936
20A_371248.1506,/home/linux/IHCPs/dataset_pm1000_sin_white/input/20A_371248.1506,/home/linux/IHCPs/dataset_pm1000_sin_white/output/20A_371248.1506
210A_570938.7951,/home/linux/IHCPs/dataset_pm1000_sin_white/input/210A_570938.7951,/home/linux/IHCPs/dataset_pm1000_sin_white/output/210A_570938.7951
211A_429128.2254,/home/linux/IHCPs/dataset_pm1000_sin_white/input/211A_429128.2254,/home/linux/IHCPs/dataset_pm1000_sin_white/output/211A_429128.2254
212A_986243.2777,/home/linux/IHCPs/dataset_pm1000_sin_white/input/212A_986243.2777,/home/linux/IHCPs/dataset_pm1000_sin_white/output/212A_986243.2777
213A_193584.9324,/home/linux/IHCPs/dataset_pm1000_sin_white/input/213A_193584.9324,/home/linux/IHCPs/dataset_pm1000_sin_white/output/213A_193584.9324
214A_514311.0729,/home/linux/IHCPs/dataset_pm1000_sin_white/input/214A_514311.0729,/home/linux/IHCPs/dataset_pm1000_sin_white/output/214A_514311.0729
215A_112182.1885,/home/linux/IHCPs/dataset_pm1000_sin_white/input/215A_112182.1885,/home/linux/IHCPs/dataset_pm1000_sin_white/output/215A_112182.1885
216A_360476.0387,/home/linux/IHCPs/dataset_pm1000_sin_white/input/216A_360476.0387,/home/linux/IHCPs/dataset_pm1000_sin_white/output/216A_360476.0387
217A_393373.5032,/home/linux/IHCPs/dataset_pm1000_sin_white/input/217A_393373.5032,/home/linux/IHCPs/dataset_pm1000_sin_white/output/217A_393373.5032
218A_720969.6542,/home/linux/IHCPs/dataset_pm1000_sin_white/input/218A_720969.6542,/home/linux/IHCPs/dataset_pm1000_sin_white/output/218A_720969.6542
219A_509202.997,/home/linux/IHCPs/dataset_pm1000_sin_white/input/219A_509202.997,/home/linux/IHCPs/dataset_pm1000_sin_white/output/219A_509202.997
21A_796583.7281,/home/linux/IHCPs/dataset_pm1000_sin_white/input/21A_796583.7281,/home/linux/IHCPs/dataset_pm1000_sin_white/output/21A_796583.7281
220A_410935.399,/home/linux/IHCPs/dataset_pm1000_sin_white/input/220A_410935.399,/home/linux/IHCPs/dataset_pm1000_sin_white/output/220A_410935.399
221A_675286.6581,/home/linux/IHCPs/dataset_pm1000_sin_white/input/221A_675286.6581,/home/linux/IHCPs/dataset_pm1000_sin_white/output/221A_675286.6581
222A_986169.3003,/home/linux/IHCPs/dataset_pm1000_sin_white/input/222A_986169.3003,/home/linux/IHCPs/dataset_pm1000_sin_white/output/222A_986169.3003
223A_174441.6095,/home/linux/IHCPs/dataset_pm1000_sin_white/input/223A_174441.6095,/home/linux/IHCPs/dataset_pm1000_sin_white/output/223A_174441.6095
224A_122845.8306,/home/linux/IHCPs/dataset_pm1000_sin_white/input/224A_122845.8306,/home/linux/IHCPs/dataset_pm1000_sin_white/output/224A_122845.8306
225A_864362.2058,/home/linux/IHCPs/dataset_pm1000_sin_white/input/225A_864362.2058,/home/linux/IHCPs/dataset_pm1000_sin_white/output/225A_864362.2058
226A_768840.5417,/home/linux/IHCPs/dataset_pm1000_sin_white/input/226A_768840.5417,/home/linux/IHCPs/dataset_pm1000_sin_white/output/226A_768840.5417
227A_353371.1757,/home/linux/IHCPs/dataset_pm1000_sin_white/input/227A_353371.1757,/home/linux/IHCPs/dataset_pm1000_sin_white/output/227A_353371.1757
228A_204143.3893,/home/linux/IHCPs/dataset_pm1000_sin_white/input/228A_204143.3893,/home/linux/IHCPs/dataset_pm1000_sin_white/output/228A_204143.3893
229A_470659.5788,/home/linux/IHCPs/dataset_pm1000_sin_white/input/229A_470659.5788,/home/linux/IHCPs/dataset_pm1000_sin_white/output/229A_470659.5788
22A_693825.5152,/home/linux/IHCPs/dataset_pm1000_sin_white/input/22A_693825.5152,/home/linux/IHCPs/dataset_pm1000_sin_white/output/22A_693825.5152
230A_639398.626,/home/linux/IHCPs/dataset_pm1000_sin_white/input/230A_639398.626,/home/linux/IHCPs/dataset_pm1000_sin_white/output/230A_639398.626
231A_676350.5715,/home/linux/IHCPs/dataset_pm1000_sin_white/input/231A_676350.5715,/home/linux/IHCPs/dataset_pm1000_sin_white/output/231A_676350.5715
232A_320879.2548,/home/linux/IHCPs/dataset_pm1000_sin_white/input/232A_320879.2548,/home/linux/IHCPs/dataset_pm1000_sin_white/output/232A_320879.2548
233A_892937.9651,/home/linux/IHCPs/dataset_pm1000_sin_white/input/233A_892937.9651,/home/linux/IHCPs/dataset_pm1000_sin_white/output/233A_892937.9651
234A_387143.967,/home/linux/IHCPs/dataset_pm1000_sin_white/input/234A_387143.967,/home/linux/IHCPs/dataset_pm1000_sin_white/output/234A_387143.967
235A_486488.253,/home/linux/IHCPs/dataset_pm1000_sin_white/input/235A_486488.253,/home/linux/IHCPs/dataset_pm1000_sin_white/output/235A_486488.253
236A_367711.7251,/home/linux/IHCPs/dataset_pm1000_sin_white/input/236A_367711.7251,/home/linux/IHCPs/dataset_pm1000_sin_white/output/236A_367711.7251
237A_407849.0688,/home/linux/IHCPs/dataset_pm1000_sin_white/input/237A_407849.0688,/home/linux/IHCPs/dataset_pm1000_sin_white/output/237A_407849.0688
238A_404669.6854,/home/linux/IHCPs/dataset_pm1000_sin_white/input/238A_404669.6854,/home/linux/IHCPs/dataset_pm1000_sin_white/output/238A_404669.6854
239A_875861.7917,/home/linux/IHCPs/dataset_pm1000_sin_white/input/239A_875861.7917,/home/linux/IHCPs/dataset_pm1000_sin_white/output/239A_875861.7917
23A_329216.4987,/home/linux/IHCPs/dataset_pm1000_sin_white/input/23A_329216.4987,/home/linux/IHCPs/dataset_pm1000_sin_white/output/23A_329216.4987
240A_694570.2544,/home/linux/IHCPs/dataset_pm1000_sin_white/input/240A_694570.2544,/home/linux/IHCPs/dataset_pm1000_sin_white/output/240A_694570.2544
241A_469280.9675,/home/linux/IHCPs/dataset_pm1000_sin_white/input/241A_469280.9675,/home/linux/IHCPs/dataset_pm1000_sin_white/output/241A_469280.9675
242A_310808.9073,/home/linux/IHCPs/dataset_pm1000_sin_white/input/242A_310808.9073,/home/linux/IHCPs/dataset_pm1000_sin_white/output/242A_310808.9073
243A_479314.1176,/home/linux/IHCPs/dataset_pm1000_sin_white/input/243A_479314.1176,/home/linux/IHCPs/dataset_pm1000_sin_white/output/243A_479314.1176
244A_887760.1659,/home/linux/IHCPs/dataset_pm1000_sin_white/input/244A_887760.1659,/home/linux/IHCPs/dataset_pm1000_sin_white/output/244A_887760.1659
245A_941029.0476,/home/linux/IHCPs/dataset_pm1000_sin_white/input/245A_941029.0476,/home/linux/IHCPs/dataset_pm1000_sin_white/output/245A_941029.0476
246A_182706.1767,/home/linux/IHCPs/dataset_pm1000_sin_white/input/246A_182706.1767,/home/linux/IHCPs/dataset_pm1000_sin_white/output/246A_182706.1767
247A_184374.8163,/home/linux/IHCPs/dataset_pm1000_sin_white/input/247A_184374.8163,/home/linux/IHCPs/dataset_pm1000_sin_white/output/247A_184374.8163
248A_753367.9971,/home/linux/IHCPs/dataset_pm1000_sin_white/input/248A_753367.9971,/home/linux/IHCPs/dataset_pm1000_sin_white/output/248A_753367.9971
249A_289961.7738,/home/linux/IHCPs/dataset_pm1000_sin_white/input/249A_289961.7738,/home/linux/IHCPs/dataset_pm1000_sin_white/output/249A_289961.7738
24A_483239.4218,/home/linux/IHCPs/dataset_pm1000_sin_white/input/24A_483239.4218,/home/linux/IHCPs/dataset_pm1000_sin_white/output/24A_483239.4218
250A_684061.0972,/home/linux/IHCPs/dataset_pm1000_sin_white/input/250A_684061.0972,/home/linux/IHCPs/dataset_pm1000_sin_white/output/250A_684061.0972
251A_584932.5636,/home/linux/IHCPs/dataset_pm1000_sin_white/input/251A_584932.5636,/home/linux/IHCPs/dataset_pm1000_sin_white/output/251A_584932.5636
